,ID,ageGap,attendReligiousServiceFreq,employmentStatus,genderSubjectAttractedTo,houseType,householdAdults_num,householdIncome,householdMinor_num,householdSize,interracial,isHispanic,isLivingTogether,isMarried,isMetroArea,metAs_coworkers,metAs_customerAndClient,metAs_workNeighbors,metIn_church,metIn_college,metIn_military,metIn_privateParty,metIn_public,metIn_restaurantOrBar,metIn_school,metIn_voluntaryOrg,metOn_blindDate,metOn_businessTrip,metOn_vacation,metOnline_all,metOnline_chat,metOnline_datingSiteOrApp,metOnline_gaming,metOnline_nonDatingSite,metOnline_other,metOnline_socialNetwork,metThru_family,metThru_friend,metThru_notInternetDatingService,metThru_orAs_neighbors,met_YearFraction,met_to_shipStart_diff,moveIn_YearFraction,numRelativesSeePerMonth,ownHouseRentOther,partnerAge,partnerEduc_years,partnerGender,partnerMotherEduc_years,partnerParty_DemPos_RepNeg,partnerRace,partyDifference,region,relationshipQuality,relationshipQuality_isGood,relationshipQuality_num,season_met,season_shipStart,sexFrequency,shipStart_YearFraction,shipStart_to_moveIn_YearFraction,straightGayLesbian,subjectAge,subjectAgeWhenMet,subjectCountryWhenMetPartner,subjectEduc_years,subjectGender,subjectGrewUpInUS,subjectMotherEduc_years,subjectParty_DemPos_RepNeg,subjectRace,subjectSexualIdentity,timesDivorcedOrWidowed,whoEarnedMore
2150,2409887,1.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,4,187500,0,4,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1974.4584,2.0,1984.625,0.0,Owned or being bought by you or someone in your household,56.0,14.0,[Partner Name] is Female,12.0,-3,White,1,Northeast,Excellent,1,5,summer,summer,Once a month or less,1976.4584,8.166626,hetero couple,57,14.0,United States,12.0,Male,United States,9.0,-2,White,heterosexual or straight,1.0,I earned more
2151,2430177,1.0,Once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,45000,2,4,no,False,Yes,"Yes, I am Married",Non-Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1995.5416,0.08337402,1996.7084,0.0,Owned or being bought by you or someone in your household,49.0,12.0,[Partner Name] is Female,12.0,0,White,1,Midwest,Excellent,1,5,summer,summer,Once a month or less,1995.625,1.083374,hetero couple,50,28.0,United States,10.0,Male,United States,12.0,-1,White,heterosexual or straight,0.0,I earned more
2152,2906389,0.0,Once or twice a month,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,80000,3,5,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1999.7916,0.0,2000.375,0.0,Owned or being bought by you or someone in your household,40.0,16.0,[Partner Name] is Female,13.0,3,White,0,South,Excellent,1,5,autumn,autumn,Once or twice a week,1999.7916,0.583374,hetero couple,40,22.0,United States,14.0,Male,"Another country, please specify",0.0,3,White,heterosexual or straight,0.0,I earned more
2154,2090459,1.0,Once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,187500,2,4,no,False,Yes,"Yes, I am Married",Metro,,,,,,,,,,,,,,,no,,,,,,,,,,,1997.125,0.666626,1998.625,0.0,Owned or being bought by you or someone in your household,52.0,16.0,[Partner Name] is Female,12.0,-1,White,2,South,Good,1,4,winter,autumn,Once a month or less,1997.7916,0.833374,hetero couple,51,31.0,United States,16.0,Male,United States,12.0,-3,White,heterosexual or straight,0.0,I earned more
2156,718501,3.0,Once a year or less,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,187500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1984.2084,0.08325195,1985.125,5.0,Rented for cash,57.0,16.0,[Partner Name] is Female,12.0,-1,White,1,Midwest,Excellent,1,5,spring,spring,Once a month or less,1984.2916,0.833374,hetero couple,60,27.0,United States,17.0,Male,United States,11.0,-2,White,heterosexual or straight,0.0,I earned more
2157,629075,3.0,Once a year or less,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,55000,1,3,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,1986.2084,0.16662598,1987.375,2.0,Owned or being bought by you or someone in your household,47.0,13.0,[Partner Name] is Female,12.0,0,White,2,South,Good,1,4,spring,spring,Once a month or less,1986.375,1.0,hetero couple,50,19.0,United States,12.0,Male,United States,13.0,-2,White,heterosexual or straight,0.0,I earned more
2158,2808983,0.0,Once a year or less,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,80000,0,2,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1976.2084,2.333252,,6.0,Owned or being bought by you or someone in your household,64.0,13.0,[Partner Name] is Male,13.0,0,White,1,West,Good,1,4,spring,summer,Once a month or less,1978.5416,,hetero couple,64,23.0,United States,16.0,Female,United States,13.0,-1,White,heterosexual or straight,0.0,We earned about the same amount
2159,1912555,3.0,Once or twice a month,employed,sexually attracted only to opposite gender,A one-family house attached to one or more houses,1,80000,0,1,yes,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,2013.375,0.0,2015.7916,2.0,Owned or being bought by you or someone in your household,32.0,16.0,[Partner Name] is Male,16.0,0,White,3,Midwest,Good,1,4,spring,spring,Once a month or less,2013.375,2.416626,hetero couple,29,25.0,United States,16.0,Female,United States,12.0,-3,Asian or Pacific Islander,heterosexual or straight,0.0,[Partner Name] earned more
2160,2212571,1.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,137500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2007.625,0.08337402,2009.625,0.0,Owned or being bought by you or someone in your household,30.0,17.0,[Partner Name] is Female,16.0,-2,White,1,South,Excellent,1,5,summer,autumn,3 to 6 times a week,2007.7084,1.916626,hetero couple,29,19.0,United States,16.0,Male,United States,14.0,-1,White,heterosexual or straight,0.0,[Partner Name] earned more
2161,742989,12.0,Once a year or less,retired,sexually attracted only to opposite gender,A building with 2 or more apartments,1,17500,0,1,no,False,No,"No, I am not Married",Metro,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,1974.4584,1.833252,,2.0,Rented for cash,55.0,12.0,[Partner Name] is Female,12.0,0,White,3,South,Good,1,4,summer,spring,Once a month or less,1976.2916,,hetero couple,67,24.0,United States,12.0,Male,United States,9.0,-3,White,heterosexual or straight,0.0,[Partner Name] earned more
2162,1957119,1.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,4,17500,0,4,no,False,No,"No, I am not Married",Non-Metro,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2009.5416,0.25,2010.375,0.0,Rented for cash,29.0,13.0,[Partner Name] is Male,12.0,0,White,3,South,Fair,0,3,summer,autumn,Once a month or less,2009.7916,0.583374,hetero couple,28,20.0,United States,12.0,Female,United States,13.0,-3,White,heterosexual or straight,0.0,[Partner Name] earned more
2163,806423,2.0,Once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,45000,0,2,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,1971.7084,30.833252,2003.4584,0.0,Owned or being bought by you or someone in your household,65.0,13.0,[Partner Name] is Male,12.0,-1,White,2,Midwest,Excellent,1,5,autumn,summer,Once a month or less,2002.5416,0.91674805,hetero couple,63,17.0,United States,12.0,Female,United States,10.0,1,White,heterosexual or straight,2.0,[Partner Name] earned more
2164,2207821,0.0,More than once a week,unemployed,sexually attracted only to same gender,A one-family house detached from any other house,2,37500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1970.7084,0.25,1973.4584,0.0,Owned or being bought by you or someone in your household,64.0,16.0,[Partner Name] is Female,16.0,-3,White,0,South,Excellent,1,5,autumn,winter,2 to 3 times a month,1970.9584,2.5,hetero couple,64,17.0,United States,16.0,Female,United States,12.0,-3,White,heterosexual or straight,0.0,[Partner Name] was not working for pay
2165,2237055,7.0,Once a week,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,92500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,1970.875,0.5,1977.2916,20.0,Owned or being bought by you or someone in your household,69.0,17.0,[Partner Name] is Male,13.0,-3,White,0,South,Excellent,1,5,autumn,spring,2 to 3 times a month,1971.375,5.916626,hetero couple,62,15.0,United States,13.0,Female,United States,12.0,-3,White,heterosexual or straight,0.0,[Partner Name] earned more
2167,2828213,2.0,More than once a week,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,300000,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1971.7916,2.666748,1977.4584,3.0,Owned or being bought by you or someone in your household,61.0,17.0,[Partner Name] is Male,12.0,-3,White,1,South,Good,1,4,autumn,summer,Once or twice a week,1974.4584,3.0,hetero couple,63,17.0,United States,12.0,Female,United States,12.0,-2,White,heterosexual or straight,1.0,[Partner Name] earned more
2168,2880955,3.0,Once a year or less,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,1,37500,4,5,no,False,Yes,"No, I am not Married",Non-Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,2016.2084,0.0,2017.4584,0.0,Owned or being bought by you or someone in your household,42.0,16.0,[Partner Name] is Female,14.0,0,White,1,Midwest,Excellent,1,5,spring,spring,3 to 6 times a week,2016.2084,1.25,hetero couple,45,44.0,United States,13.0,Male,United States,12.0,-1,White,heterosexual or straight,1.0,[Partner Name] earned more
2169,2634927,0.0,Once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,55000,2,4,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1996.4584,0.08325195,1998.2916,3.0,Owned or being bought by you or someone in your household,42.0,14.0,[Partner Name] is Male,12.0,-1,White,2,Midwest,Very Poor,0,1,summer,summer,Once a month or less,1996.5416,1.75,hetero couple,42,21.0,United States,16.0,Female,United States,17.0,-3,White,heterosexual or straight,0.0,[Partner Name] earned more
2170,2776643,4.0,More than once a week,employed,sexually attracted only to opposite gender,A one-family house attached to one or more houses,2,67500,1,3,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,1998.9584,0.0,2003.375,0.0,Rented for cash,36.0,16.0,[Partner Name] is Female,13.0,0,White,2,West,Excellent,1,5,winter,winter,Once or twice a week,1998.9584,4.416626,hetero couple,40,21.0,United States,16.0,Male,United States,12.0,-2,White,heterosexual or straight,0.0,I earned more
2171,697337,2.0,A few times a year,retired,sexually attracted only to opposite gender,A mobile home,2,67500,0,2,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1967.0416,1.166748,1970.9584,0.0,Owned or being bought by you or someone in your household,72.0,16.0,[Partner Name] is Female,7.5,-1,White,0,South,Excellent,1,5,winter,spring,Once a month or less,1968.2084,2.75,hetero couple,70,20.0,United States,12.0,Male,United States,5.5,-1,White,heterosexual or straight,0.0,I earned more
2172,799617,7.0,Once a year or less,retired,sexually attracted only to opposite gender,A mobile home,2,27500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1973.0416,0.5,1973.7916,4.0,Owned or being bought by you or someone in your household,69.0,13.0,[Partner Name] is Male,12.0,0,White,1,Northeast,Good,1,4,winter,summer,Once or twice a week,1973.5416,0.25,hetero couple,62,18.0,United States,14.0,Female,United States,12.0,-1,White,heterosexual or straight,0.0,[Partner Name] was not working for pay
2173,1941137,2.0,Never,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,92500,2,4,yes,True,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1998.875,0.08337402,1999.2084,12.0,Owned or being bought by you or someone in your household,40.0,14.0,[Partner Name] is Male,12.0,2,Other (please specify),1,West,Good,1,4,autumn,winter,Once or twice a week,1998.9584,0.25,hetero couple,38,19.0,United States,12.0,Female,United States,9.0,3,White,heterosexual or straight,0.0,[Partner Name] earned more
2175,2796929,4.0,A few times a year,unemployed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,13750,1,3,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1994.7916,8.083374,2008.2916,15.0,Rented for cash,30.0,13.0,[Partner Name] is Female,14.0,-3,White,0,South,Excellent,1,5,autumn,autumn,Once or twice a week,2002.875,5.416626,hetero couple,34,11.0,United States,12.0,Male,United States,12.0,-3,White,heterosexual or straight,0.0,We earned about the same amount
2176,2840229,4.0,Once a year or less,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,92500,2,4,no,True,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,1997.5416,0.33337402,2002.4584,10.0,Owned or being bought by you or someone in your household,40.0,5.5,[Partner Name] is Male,0.0,0,White,1,West,Excellent,1,5,summer,autumn,3 to 6 times a week,1997.875,4.583374,hetero couple,36,16.0,United States,14.0,Female,United States,14.0,1,White,heterosexual or straight,0.0,I earned more
2177,2255583,5.0,More than once a week,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,37500,0,2,no,True,Yes,"Yes, I am Married",Metro,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1969.875,0.16662598,1970.875,10.0,Owned or being bought by you or someone in your household,68.0,16.0,[Partner Name] is Female,12.0,-1,White,3,South,Excellent,1,5,autumn,winter,Once or twice a week,1970.0416,0.833374,hetero couple,73,25.0,United States,5.5,Male,"Another country, please specify",0.0,2,White,heterosexual or straight,0.0,[Partner Name] earned more
2178,2965177,0.0,Once a year or less,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,3,112500,0,3,yes,True,No,"No, I am not Married",Metro,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2010.625,0.16662598,,10.0,Owned or being bought by you or someone in your household,27.0,16.0,[Partner Name] is Male,16.0,0,"American Indian, Aleut, or Eskimo",2,South,Good,1,4,summer,autumn,2 to 3 times a month,2010.7916,,hetero couple,27,20.0,United States,16.0,Female,United States,13.0,2,Asian or Pacific Islander,heterosexual or straight,0.0,[Partner Name] earned more
2179,1527623,1.0,Once a week,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,112500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1971.7084,0.16662598,1974.2084,0.0,Owned or being bought by you or someone in your household,64.0,16.0,[Partner Name] is Male,16.0,-1,White,1,South,Excellent,1,5,autumn,autumn,3 to 6 times a week,1971.875,2.333374,hetero couple,65,19.0,United States,16.0,Female,United States,16.0,-2,White,heterosexual or straight,0.0,[Partner Name] earned more
2180,1690321,7.0,Never,unemployed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,67500,0,2,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2005.0416,1.166748,2009.0416,2.0,Rented for cash,34.0,14.0,[Partner Name] is Female,14.0,0,Asian or Pacific Islander,1,West,Excellent,1,5,winter,spring,Once or twice a week,2006.2084,2.833252,hetero couple,41,29.0,United States,17.0,Male,United States,14.0,-1,Asian or Pacific Islander,heterosexual or straight,0.0,We earned about the same amount
2181,2343777,2.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,80000,0,2,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1970.375,8.0,1978.625,2.0,Owned or being bought by you or someone in your household,60.0,12.0,[Partner Name] is Male,12.0,1,White,0,Midwest,Excellent,1,5,spring,spring,2 to 3 times a month,1978.375,0.25,hetero couple,58,11.0,United States,12.0,Female,United States,12.0,1,White,heterosexual or straight,0.0,[Partner Name] earned more
2183,1900621,1.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,55000,2,4,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1993.5416,0.0,1994.125,0.0,Owned or being bought by you or someone in your household,42.0,12.0,[Partner Name] is Female,12.0,2,White,0,West,Excellent,1,5,summer,summer,3 to 6 times a week,1993.5416,0.583374,hetero couple,43,19.0,United States,12.0,Male,United States,12.0,2,White,heterosexual or straight,0.0,I earned more
2184,2248865,5.0,Never,unemployed,sexually attracted to men and women equally,A one-family house detached from any other house,2,67500,1,3,no,False,Yes,"Yes, I am Married",Non-Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2002.4584,1.25,2005.125,6.0,Owned or being bought by you or someone in your household,35.0,16.0,[Partner Name] is Female,12.0,0,White,1,South,Excellent,1,5,summer,autumn,Once or twice a week,2003.7084,1.416626,hetero couple,40,25.0,United States,12.0,Male,United States,14.0,-1,White,bisexual,0.0,I earned more
2185,1811407,3.0,More than once a week,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,55000,0,2,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,1951.7084,0.0,1955.0416,1.0,Owned or being bought by you or someone in your household,80.0,12.0,[Partner Name] is Female,7.5,1,White,1,South,Excellent,1,5,autumn,autumn,Once a month or less,1951.7084,3.333252,hetero couple,83,17.0,United States,12.0,Male,United States,7.5,2,White,heterosexual or straight,0.0,I earned more
2186,2237691,54.0,Never,employed,"sexually attracted mostly to same gender, sometimes opposite gender",A one-family house detached from any other house,2,112500,0,2,no,False,Yes,"No, I am not Married",Metro,,,,,,,,,,,,,,,no,,,,,,,,,,,1990.4584,0.41662598,2006.375,0.0,Owned or being bought by you or someone in your household,-1.0,17.0,[Partner Name] is Female,12.0,1,White,0,Midwest,Excellent,1,5,summer,autumn,Refused,1990.875,15.5,lesbian couple,53,26.0,United States,13.0,Female,United States,12.0,1,White,bisexual,0.0,[Partner Name] earned more
2187,2853155,3.0,Once a week,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,45000,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,1967.625,0.0,1968.375,3.0,Owned or being bought by you or someone in your household,68.0,14.0,[Partner Name] is Female,5.5,3,White,0,Northeast,Excellent,1,5,summer,summer,Once a month or less,1967.625,0.75,hetero couple,71,21.0,United States,13.0,Male,United States,7.5,3,White,heterosexual or straight,0.0,[Partner Name] earned more
2188,1682355,2.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,3,225000,0,3,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1988.4584,0.08325195,1989.2084,1.0,Owned or being bought by you or someone in your household,53.0,11.0,[Partner Name] is Female,11.0,1,White,2,Midwest,Very Poor,0,1,summer,summer,Once a month or less,1988.5416,0.66674805,hetero couple,55,26.0,United States,20.0,Male,United States,12.0,3,White,heterosexual or straight,0.0,I earned more
2190,1556445,1.0,Never,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,67500,1,3,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1995.0416,0.16674805,1998.625,3.0,Owned or being bought by you or someone in your household,37.0,12.0,[Partner Name] is Male,11.0,1,White,0,South,Excellent,1,5,winter,spring,Once or twice a week,1995.2084,3.416626,hetero couple,36,14.0,United States,16.0,Female,United States,12.0,1,White,heterosexual or straight,0.0,[Partner Name] earned more
2191,2702941,1.0,Once a week,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,1,137500,0,1,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,1995.7916,0.25,,4.0,Owned or being bought by you or someone in your household,70.0,12.0,[Partner Name] is Male,13.0,0,Black or African American,1,Midwest,Excellent,1,5,autumn,winter,Once a month or less,1996.0416,,hetero couple,69,47.0,United States,17.0,Female,United States,13.0,1,Black or African American,heterosexual or straight,1.0,I earned more
2192,2751707,4.0,Once a week,employed,sexually attracted only to same gender,A one-family house detached from any other house,2,112500,0,2,no,False,Yes,"No, I am not Married",Metro,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,1980.4584,0.0,1980.4584,0.0,Owned or being bought by you or someone in your household,60.0,16.0,[Partner Name] is Male,12.0,0,White,3,Midwest,Good,1,4,summer,summer,Once a month or less,1980.4584,0.0,gay male couple,64,27.0,United States,20.0,Male,United States,16.0,3,White,gay,0.0,I earned more
2193,2851225,7.0,A few times a year,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,1,32500,0,1,no,False,No,"No, I am not Married",Non-Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1970.4584,20.25,,10.0,Owned or being bought by you or someone in your household,69.0,16.0,[Partner Name] is Male,13.0,0,White,1,Northeast,Good,1,4,summer,autumn,2 to 3 times a month,1990.7084,,hetero couple,62,15.0,United States,12.0,Female,United States,13.0,-1,White,heterosexual or straight,4.0,[Partner Name] earned more
2194,1392503,12.0,Once a year or less,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,150000,1,3,yes,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1998.5416,0.25,1999.9584,0.0,Owned or being bought by you or someone in your household,38.0,17.0,[Partner Name] is Female,16.0,0,Other (please specify),1,South,Excellent,1,5,summer,autumn,3 to 6 times a week,1998.7916,1.166748,hetero couple,50,31.0,United States,17.0,Male,"Another country, please specify",16.0,-1,Asian or Pacific Islander,heterosexual or straight,0.0,We earned about the same amount
2195,1234663,0.0,More than once a week,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,150000,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1968.5416,0.08337402,1970.125,0.0,Owned or being bought by you or someone in your household,70.0,16.0,[Partner Name] is Female,12.0,-2,White,1,South,Excellent,1,5,summer,summer,Once a month or less,1968.625,1.5,hetero couple,70,21.0,United States,16.0,Male,United States,12.0,-3,White,heterosexual or straight,0.0,[Partner Name] earned more
2196,2766831,4.0,Once a year or less,employed,sexually attracted only to opposite gender,A one-family house attached to one or more houses,1,92500,0,1,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1998.7084,2.583252,2014.7084,1.0,Owned or being bought by you or someone in your household,53.0,13.0,[Partner Name] is Male,12.0,2,Black or African American,0,South,Good,1,4,autumn,spring,Once or twice a week,2001.2916,13.416748,hetero couple,57,38.0,United States,13.0,Female,United States,12.0,2,Black or African American,heterosexual or straight,1.0,I earned more
2197,2103257,3.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,112500,0,2,no,False,Yes,"Yes, I am Married",Non-Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,2011.875,0.08337402,2012.125,2.0,Owned or being bought by you or someone in your household,29.0,13.0,[Partner Name] is Female,12.0,1,White,2,Northeast,Excellent,1,5,autumn,winter,Once or twice a week,2011.9584,0.16662598,hetero couple,26,20.0,United States,12.0,Male,United States,12.0,-1,White,heterosexual or straight,0.0,I earned more
2198,2024625,4.0,More than once a week,unemployed,sexually attracted to men and women equally,A one-family house detached from any other house,1,13750,0,1,no,False,No,"No, I am not Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2016.7084,0.33325195,,1.0,Rented for cash,33.0,16.0,[Partner Name] is Female,16.0,1,Black or African American,0,South,Fair,0,3,autumn,winter,Once or twice a week,2017.0416,,hetero couple,29,28.0,United States,12.0,Female,United States,14.0,1,Black or African American,heterosexual or straight,1.0,We earned about the same amount
2199,2009751,6.0,Never,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,112500,0,2,yes,False,No,"No, I am not Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2016.875,0.25,,0.0,Rented for cash,35.0,17.0,[Partner Name] is Male,14.0,2,Asian or Pacific Islander,1,West,Good,1,4,autumn,winter,Once or twice a week,2017.125,,hetero couple,29,28.0,United States,17.0,Female,United States,13.0,3,White,heterosexual or straight,0.0,[Partner Name] earned more
2200,2430011,1.0,Once or twice a month,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,3,112500,0,3,yes,False,No,"No, I am not Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,2014.9584,0.33325195,,3.0,Owned or being bought by you or someone in your household,22.0,14.0,[Partner Name] is Female,16.0,1,"American Indian, Aleut, or Eskimo",2,Midwest,Excellent,1,5,winter,spring,Once a month or less,2015.2916,,hetero couple,23,20.0,United States,13.0,Male,United States,17.0,-1,White,heterosexual or straight,0.0,We earned about the same amount
2203,2624839,7.0,Once or twice a month,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,3,37500,0,3,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1986.5416,1.166748,1987.875,0.0,Rented for cash,66.0,20.0,[Partner Name] is Male,14.0,1,White,1,West,Excellent,1,5,summer,autumn,Refused,1987.7084,0.16662598,hetero couple,59,28.0,United States,13.0,Female,United States,12.0,2,White,heterosexual or straight,0.0,I earned more
